epoch 0, processed 0 samples, lr 0.0000001000
Epoch: [0][0/1445]	Time 0.524 (0.524)	Data 0.081 (0.081)	Loss 3.6337 (3.6337)	
Epoch: [0][30/1445]	Time 0.023 (0.039)	Data 0.003 (0.005)	Loss 2.4019 (9.6131)	
Epoch: [0][60/1445]	Time 0.023 (0.031)	Data 0.003 (0.004)	Loss 5.4652 (9.5133)	
Epoch: [0][90/1445]	Time 0.023 (0.028)	Data 0.002 (0.003)	Loss 6.1192 (8.2171)	
Epoch: [0][120/1445]	Time 0.023 (0.027)	Data 0.003 (0.003)	Loss 1.5148 (7.7434)	
Epoch: [0][150/1445]	Time 0.023 (0.026)	Data 0.003 (0.003)	Loss 8.4815 (8.7031)	
Epoch: [0][180/1445]	Time 0.022 (0.025)	Data 0.002 (0.003)	Loss 2.3428 (8.6190)	
Epoch: [0][210/1445]	Time 0.022 (0.025)	Data 0.002 (0.003)	Loss 8.3279 (8.8424)	
Epoch: [0][240/1445]	Time 0.022 (0.025)	Data 0.002 (0.003)	Loss 1.2326 (8.6431)	
Epoch: [0][270/1445]	Time 0.022 (0.024)	Data 0.002 (0.003)	Loss 1.6275 (8.5807)	
Epoch: [0][300/1445]	Time 0.023 (0.024)	Data 0.002 (0.003)	Loss 3.0993 (8.9151)	
Epoch: [0][330/1445]	Time 0.022 (0.024)	Data 0.002 (0.003)	Loss 5.6535 (9.0607)	
Epoch: [0][360/1445]	Time 0.022 (0.024)	Data 0.002 (0.003)	Loss 4.6000 (9.3200)	
Epoch: [0][390/1445]	Time 0.022 (0.024)	Data 0.002 (0.003)	Loss 9.0750 (9.3584)	
Epoch: [0][420/1445]	Time 0.023 (0.024)	Data 0.002 (0.002)	Loss 1.6532 (9.3840)	
Epoch: [0][450/1445]	Time 0.022 (0.024)	Data 0.002 (0.002)	Loss 1.6579 (9.2492)	
Epoch: [0][480/1445]	Time 0.023 (0.024)	Data 0.002 (0.002)	Loss 16.8451 (9.5223)	
Epoch: [0][510/1445]	Time 0.023 (0.023)	Data 0.002 (0.002)	Loss 33.2460 (9.6133)	
Epoch: [0][540/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 17.4114 (9.4050)	
Epoch: [0][570/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 30.6467 (9.6180)	
Epoch: [0][600/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 2.0709 (9.4334)	
Epoch: [0][630/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 5.6858 (9.6602)	
Epoch: [0][660/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 126.2872 (10.2376)	
Epoch: [0][690/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 4.5506 (10.1026)	
Epoch: [0][720/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 6.4907 (10.0461)	
Epoch: [0][750/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 3.4362 (10.2132)	
