epoch 0, processed 0 samples, lr 0.0000001000
Epoch: [0][0/1445]	Time 0.460 (0.460)	Data 0.082 (0.082)	Loss 9.1914 (9.1914)	
Epoch: [0][30/1445]	Time 0.022 (0.036)	Data 0.002 (0.005)	Loss 85.1592 (7.4639)	
Epoch: [0][60/1445]	Time 0.022 (0.029)	Data 0.002 (0.004)	Loss 4.0020 (6.9129)	
Epoch: [0][90/1445]	Time 0.022 (0.027)	Data 0.002 (0.003)	Loss 2.6480 (6.6740)	
Epoch: [0][120/1445]	Time 0.022 (0.026)	Data 0.002 (0.003)	Loss 1.8004 (6.0662)	
Epoch: [0][150/1445]	Time 0.020 (0.025)	Data 0.002 (0.003)	Loss 4.3009 (6.1858)	
Epoch: [0][180/1445]	Time 0.022 (0.025)	Data 0.002 (0.003)	Loss 18.8620 (5.7566)	
Epoch: [0][210/1445]	Time 0.022 (0.024)	Data 0.002 (0.003)	Loss 5.6012 (6.3458)	
Epoch: [0][240/1445]	Time 0.023 (0.024)	Data 0.002 (0.003)	Loss 1.3245 (6.4674)	
Epoch: [0][270/1445]	Time 0.023 (0.024)	Data 0.002 (0.003)	Loss 3.4782 (6.1891)	
Epoch: [0][300/1445]	Time 0.023 (0.024)	Data 0.002 (0.003)	Loss 2.6352 (6.9921)	
Epoch: [0][330/1445]	Time 0.022 (0.024)	Data 0.002 (0.002)	Loss 0.9899 (6.7895)	
Epoch: [0][360/1445]	Time 0.023 (0.024)	Data 0.002 (0.002)	Loss 1.6138 (6.6524)	
Epoch: [0][390/1445]	Time 0.023 (0.023)	Data 0.002 (0.002)	Loss 1.9666 (7.0214)	
Epoch: [0][420/1445]	Time 0.023 (0.023)	Data 0.002 (0.002)	Loss 5.5089 (7.2790)	
Epoch: [0][450/1445]	Time 0.023 (0.023)	Data 0.002 (0.002)	Loss 1.3341 (7.0915)	
Epoch: [0][480/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 2.2058 (7.0852)	
Epoch: [0][510/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 14.4710 (7.5047)	
Epoch: [0][540/1445]	Time 0.023 (0.023)	Data 0.002 (0.002)	Loss 15.5378 (7.3232)	
Epoch: [0][570/1445]	Time 0.023 (0.023)	Data 0.002 (0.002)	Loss 1.2869 (7.2149)	
Epoch: [0][600/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 8.8344 (7.2512)	
Epoch: [0][630/1445]	Time 0.022 (0.023)	Data 0.003 (0.002)	Loss 2.7399 (7.1946)	
Epoch: [0][660/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 2.6501 (7.1485)	
Epoch: [0][690/1445]	Time 0.021 (0.023)	Data 0.002 (0.002)	Loss 1.3182 (7.1418)	
Epoch: [0][720/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 2.5664 (7.0288)	
Epoch: [0][750/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 9.4376 (6.9885)	
Epoch: [0][780/1445]	Time 0.023 (0.023)	Data 0.002 (0.002)	Loss 1.8165 (7.0470)	
Epoch: [0][810/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 2.3594 (6.9275)	
Epoch: [0][840/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 2.8144 (6.8713)	
Epoch: [0][870/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 2.7695 (6.8104)	
Epoch: [0][900/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 1.2618 (6.9223)	
Epoch: [0][930/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 1.8424 (6.9121)	
Epoch: [0][960/1445]	Time 0.023 (0.023)	Data 0.002 (0.002)	Loss 3.9781 (6.9246)	
Epoch: [0][990/1445]	Time 0.022 (0.023)	Data 0.003 (0.002)	Loss 3.2814 (6.8530)	
Epoch: [0][1020/1445]	Time 0.021 (0.023)	Data 0.002 (0.002)	Loss 2.6900 (6.8247)	
Epoch: [0][1050/1445]	Time 0.024 (0.023)	Data 0.002 (0.002)	Loss 99.0248 (6.8650)	
Epoch: [0][1080/1445]	Time 0.021 (0.023)	Data 0.002 (0.002)	Loss 1.1540 (6.9088)	
Epoch: [0][1110/1445]	Time 0.025 (0.023)	Data 0.002 (0.002)	Loss 1.8546 (7.0626)	
Epoch: [0][1140/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 3.5324 (7.1239)	
Epoch: [0][1170/1445]	Time 0.022 (0.023)	Data 0.003 (0.002)	Loss 1.9689 (7.0784)	
Epoch: [0][1200/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 1.7558 (7.0274)	
Epoch: [0][1230/1445]	Time 0.023 (0.023)	Data 0.002 (0.002)	Loss 8.4121 (7.0488)	
Epoch: [0][1260/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 5.8714 (7.0973)	
Epoch: [0][1290/1445]	Time 0.023 (0.023)	Data 0.002 (0.002)	Loss 5.4694 (7.0797)	
Epoch: [0][1320/1445]	Time 0.023 (0.023)	Data 0.003 (0.002)	Loss 9.5391 (7.1595)	
Epoch: [0][1350/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 3.5721 (7.1105)	
Epoch: [0][1380/1445]	Time 0.023 (0.023)	Data 0.002 (0.002)	Loss 6.7197 (7.0656)	
Epoch: [0][1410/1445]	Time 0.023 (0.023)	Data 0.002 (0.002)	Loss 1.5887 (7.0793)	
Epoch: [0][1440/1445]	Time 0.022 (0.023)	Data 0.002 (0.002)	Loss 2.8207 (7.0120)	
begin test
 * MAE 43.112 
 * best MAE 43.112 
epoch 1, processed 1445 samples, lr 0.0000001000
Epoch: [1][0/1445]	Time 0.129 (0.129)	Data 0.111 (0.111)	Loss 21.1505 (21.1505)	
Epoch: [1][30/1445]	Time 0.022 (0.026)	Data 0.002 (0.006)	Loss 1.8006 (5.7696)	
Epoch: [1][60/1445]	Time 0.022 (0.024)	Data 0.002 (0.004)	Loss 2.5904 (6.8210)	
Epoch: [1][90/1445]	Time 0.022 (0.024)	Data 0.002 (0.004)	Loss 5.5716 (5.7948)	
Epoch: [1][120/1445]	Time 0.020 (0.023)	Data 0.002 (0.003)	Loss 8.4040 (5.7005)	
Epoch: [1][150/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 2.0633 (7.2674)	
Epoch: [1][180/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 2.1615 (6.7570)	
Epoch: [1][210/1445]	Time 0.022 (0.023)	Data 0.003 (0.003)	Loss 2.3602 (6.5258)	
Epoch: [1][240/1445]	Time 0.023 (0.023)	Data 0.002 (0.003)	Loss 1.7732 (6.8960)	
Epoch: [1][270/1445]	Time 0.022 (0.023)	Data 0.003 (0.003)	Loss 1.6862 (6.7270)	
Epoch: [1][300/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 3.7556 (6.7212)	
Epoch: [1][330/1445]	Time 0.022 (0.023)	Data 0.002 (0.003)	Loss 2.4431 (6.6936)	
